lable,root,before,after
disease_symptom,disease,得了,会怎么样
disease_symptom,disease,,有哪些症状
symptom_curway,symptom,我最近,怎么办
symptom_curway,symptom,我,怎么治疗
symptom_disease,symptom,,是什么病
symptom_disease,symptom,,是什么病
disease_drug,disease,,应该吃什么药
disease_drug,disease,什么药能治,
drug_disease,drug,,能治什么病
drug_disease,drug,,有什么用
drug_disease,drug,吃,能治什么病
disease_check,disease,,要做什么检查
disease_check,disease,我得了,要检查哪些项目
disease_check,disease,,要查哪些项目
disease_prevent,disease,怎么预防,
disease_prevent,disease,怎么才能预防,
disease_lasttime,disease,,治疗周期是多久
disease_lasttime,disease,,多久才能治好
disease_lasttime,disease,,多久会好
disease_cureway,disease,得了,怎么办
disease_cureway,disease,,怎么治疗
disease_cureway,disease,,要怎么治
